Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
festive-patterns-no2,Festive Patterns No2,Size,53x72,Print Type,Canvas Roll,,,FESTIVE-PATTERNS-NO2-CANVAS-ROLL-53X72,,,170 Avenue F,,,,45,45
festive-patterns-no2,Festive Patterns No2,Size,53x72,Print Type,Canvas Roll,,,FESTIVE-PATTERNS-NO2-CANVAS-ROLL-53X72,,,Printful,,,,not stocked,not stocked
festive-patterns-no2,Festive Patterns No2,Size,24x36,Print Type,Gallery Wrapped Canvas,,,FESTIVE-PATTERNS-NO2-GALLERY-WRAPPED-CANVAS-24X36,,,170 Avenue F,,,,150,150
festive-patterns-no2,Festive Patterns No2,Size,24x36,Print Type,Gallery Wrapped Canvas,,,FESTIVE-PATTERNS-NO2-GALLERY-WRAPPED-CANVAS-24X36,,,Printful,,,,not stocked,not stocked
festive-patterns-no2,Festive Patterns No2,Size,36x48,Print Type,Gallery Wrapped Canvas,,,FESTIVE-PATTERNS-NO2-GALLERY-WRAPPED-CANVAS-36X48,,,170 Avenue F,,,,105,105
festive-patterns-no2,Festive Patterns No2,Size,36x48,Print Type,Gallery Wrapped Canvas,,,FESTIVE-PATTERNS-NO2-GALLERY-WRAPPED-CANVAS-36X48,,,Printful,,,,not stocked,not stocked
festive-patterns-no2,Festive Patterns No2,Size,53x72,Print Type,Gallery Wrapped Canvas,,,FESTIVE-PATTERNS-NO2-GALLERY-WRAPPED-CANVAS-53X72,,,170 Avenue F,,,,45,45
festive-patterns-no2,Festive Patterns No2,Size,53x72,Print Type,Gallery Wrapped Canvas,,,FESTIVE-PATTERNS-NO2-GALLERY-WRAPPED-CANVAS-53X72,,,Printful,,,,not stocked,not stocked
festive-patterns-no3,Festive Patterns No3,Size,24x36,Print Type,Canvas Roll,,,FESTIVE-PATTERNS-NO3-CANVAS-ROLL-24X36,,,170 Avenue F,,,,150,150
festive-patterns-no3,Festive Patterns No3,Size,24x36,Print Type,Canvas Roll,,,FESTIVE-PATTERNS-NO3-CANVAS-ROLL-24X36,,,Printful,,,,not stocked,not stocked
festive-patterns-no3,Festive Patterns No3,Size,36x48,Print Type,Canvas Roll,,,FESTIVE-PATTERNS-NO3-CANVAS-ROLL-36X48,,,170 Avenue F,,,,105,105
festive-patterns-no3,Festive Patterns No3,Size,36x48,Print Type,Canvas Roll,,,FESTIVE-PATTERNS-NO3-CANVAS-ROLL-36X48,,,Printful,,,,not stocked,not stocked
festive-patterns-no3,Festive Patterns No3,Size,53x72,Print Type,Canvas Roll,,,FESTIVE-PATTERNS-NO3-CANVAS-ROLL-53X72,,,170 Avenue F,,,,45,45
festive-patterns-no3,Festive Patterns No3,Size,53x72,Print Type,Canvas Roll,,,FESTIVE-PATTERNS-NO3-CANVAS-ROLL-53X72,,,Printful,,,,not stocked,not stocked
festive-patterns-no3,Festive Patterns No3,Size,24x36,Print Type,Gallery Wrapped Canvas,,,FESTIVE-PATTERNS-NO3-GALLERY-WRAPPED-CANVAS-24X36,,,170 Avenue F,,,,150,150
festive-patterns-no3,Festive Patterns No3,Size,24x36,Print Type,Gallery Wrapped Canvas,,,FESTIVE-PATTERNS-NO3-GALLERY-WRAPPED-CANVAS-24X36,,,Printful,,,,not stocked,not stocked
festive-patterns-no3,Festive Patterns No3,Size,36x48,Print Type,Gallery Wrapped Canvas,,,FESTIVE-PATTERNS-NO3-GALLERY-WRAPPED-CANVAS-36X48,,,170 Avenue F,,,,105,105
festive-patterns-no3,Festive Patterns No3,Size,36x48,Print Type,Gallery Wrapped Canvas,,,FESTIVE-PATTERNS-NO3-GALLERY-WRAPPED-CANVAS-36X48,,,Printful,,,,not stocked,not stocked
festive-patterns-no3,Festive Patterns No3,Size,53x72,Print Type,Gallery Wrapped Canvas,,,FESTIVE-PATTERNS-NO3-GALLERY-WRAPPED-CANVAS-53X72,,,170 Avenue F,,,,45,45
festive-patterns-no3,Festive Patterns No3,Size,53x72,Print Type,Gallery Wrapped Canvas,,,FESTIVE-PATTERNS-NO3-GALLERY-WRAPPED-CANVAS-53X72,,,Printful,,,,not stocked,not stocked
fractal-color-dark,Fractal Color Dark,Size,24x36,Print Type,Canvas Roll,,,FRACTAL-COLOR-DARK-CANVAS-ROLL-24X36,,,170 Avenue F,,,,150,150
fractal-color-dark,Fractal Color Dark,Size,24x36,Print Type,Canvas Roll,,,FRACTAL-COLOR-DARK-CANVAS-ROLL-24X36,,,Printful,,,,not stocked,not stocked
fractal-color-dark,Fractal Color Dark,Size,36x48,Print Type,Canvas Roll,,,FRACTAL-COLOR-DARK-CANVAS-ROLL-36X48,,,170 Avenue F,,,,105,105
fractal-color-dark,Fractal Color Dark,Size,36x48,Print Type,Canvas Roll,,,FRACTAL-COLOR-DARK-CANVAS-ROLL-36X48,,,Printful,,,,not stocked,not stocked
fractal-color-dark,Fractal Color Dark,Size,53x72,Print Type,Canvas Roll,,,FRACTAL-COLOR-DARK-CANVAS-ROLL-53X72,,,170 Avenue F,,,,45,45
fractal-color-dark,Fractal Color Dark,Size,53x72,Print Type,Canvas Roll,,,FRACTAL-COLOR-DARK-CANVAS-ROLL-53X72,,,Printful,,,,not stocked,not stocked
fractal-color-dark-double,Fractal Color Dark Double,Size,24x36,Print Type,Canvas Roll,,,FRACTAL-COLOR-DARK-DOUBLE-CANVAS-ROLL-24X36,,,170 Avenue F,,,,150,150
fractal-color-dark-double,Fractal Color Dark Double,Size,24x36,Print Type,Canvas Roll,,,FRACTAL-COLOR-DARK-DOUBLE-CANVAS-ROLL-24X36,,,Printful,,,,not stocked,not stocked
fractal-color-dark-double,Fractal Color Dark Double,Size,36x48,Print Type,Canvas Roll,,,FRACTAL-COLOR-DARK-DOUBLE-CANVAS-ROLL-36X48,,,170 Avenue F,,,,105,105
fractal-color-dark-double,Fractal Color Dark Double,Size,36x48,Print Type,Canvas Roll,,,FRACTAL-COLOR-DARK-DOUBLE-CANVAS-ROLL-36X48,,,Printful,,,,not stocked,not stocked
fractal-color-dark-double,Fractal Color Dark Double,Size,53x72,Print Type,Canvas Roll,,,FRACTAL-COLOR-DARK-DOUBLE-CANVAS-ROLL-53X72,,,170 Avenue F,,,,45,45
fractal-color-dark-double,Fractal Color Dark Double,Size,53x72,Print Type,Canvas Roll,,,FRACTAL-COLOR-DARK-DOUBLE-CANVAS-ROLL-53X72,,,Printful,,,,not stocked,not stocked
fractal-color-dark-double,Fractal Color Dark Double,Size,24x36,Print Type,Gallery Wrapped Canvas,,,FRACTAL-COLOR-DARK-DOUBLE-GALLERY-WRAPPED-CANVAS-24X36,,,170 Avenue F,,,,150,150
